[1202/090834.056:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1202/111400.237:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/111404.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/111405.464:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/123808.485:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/123810.155:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/123813.574:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/123815.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/123821.421:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/124937.489:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/124942.559:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/124947.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/131144.506:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/131145.348:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/131149.592:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1202/131150.413:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
